Cohort,Feature Index,Feature Name,Tier,Normalized Importance
Asian,104,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I25_10,Micro,0.029604973
Asian,105,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I48_91,Micro,0.03852791
Asian,106,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I50_32,Micro,0.03039365
Asian,107,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I50_9,Micro,0.024150167
Asian,108,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I69_354,Micro,0.033480052
Asian,109,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_M62_81,Micro,0.037043795
Asian,110,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_R26_89,Micro,0.046990015
Asian,111,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_Z79_01,Micro,0.0480209
Asian,112,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_Z91_81,Micro,0.04645574
Asian,113,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_E11_22,Micro,0.025757391
Asian,114,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_F03_90,Micro,0.02848419
Asian,115,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_G47_33,Micro,0.022492398
Asian,116,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_I10,Micro,0.030490136
Asian,117,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_I25_10,Micro,0.036437485
Asian,118,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_I50_32,Micro,0.028079903
Asian,119,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_K59_00,Micro,0.04057128
Asian,120,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_M62_81,Micro,0.06800977
Asian,121,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_R26_89,Micro,0.052887455
Asian,122,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_Z48_01,Micro,0.040963802
Asian,123,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_Z79_01,Micro,0.027267018
Asian,124,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_Z87_891,Micro,0.016444497
Asian,125,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_Z91_81,Micro,0.037016008
Asian,126,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_E11_22,Micro,0.033810414
Asian,127,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_E66_01,Micro,0.026840752
Asian,128,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_F03_90,Micro,0.05111432
Asian,129,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_G47_33,Micro,0.020438185
Asian,130,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_I10,Micro,0.019047894
Asian,131,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_I25_10,Micro,0.015453505
Asian,132,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_M54_5,Micro,0.027792724
Asian,133,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_M62_81,Micro,0.056962088
Asian,134,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_Z48_00,Micro,0.025050336
